index,Order_Id,Cust ID,Gender,Age,Date,Status,Channel ,SKU,Category,Size,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B
37,404-9033015-7527503,9033015,Female,41,04-12-2022,Delivered,Amazon,JNE3368-KR-XL,kurta,XL,1,INR,449,Payyannur,KERALA,670309,IN,False
38,402-6932218-7744338,6932218,Female,41,04-12-2022,Delivered,Myntra,SET333-KR-DPT-XS,Set,XS,1,INR,967,CHANDIGARH,CHANDIGARH,160036,IN,False
39,408-8796291-5026713,8796291,Female,35,04-12-2022,Delivered,Amazon,JNE3423-KR-XL,kurta,XL,1,INR,399,GURUGRAM,HARYANA,122001,IN,False
40,407-9654105-3225150,9654105,Female,72,04-12-2022,Delivered,Flipkart,J0230-SKD-M,Set,M,1,INR,969,MOHALI,PUNJAB,160062,IN,False
41,402-0637532-2672317,637532,Male,39,04-12-2022,Delivered,Flipkart,J0159-DR-L,Western Dress,L,1,INR,599,BENGALURU,KARNATAKA,560061,IN,False
42,402-0637532-2672317,637532,Female,39,04-12-2022,Delivered,Amazon,J0334-TP-S,Top,S,1,INR,545,PUNE,MAHARASHTRA,411051,IN,False
43,404-3393819-5081930,3393819,Female,44,04-12-2022,Delivered,Myntra,SET397-KR-NP-XS,Set,XS,1,INR,1115,PUNE,MAHARASHTRA,412207,IN,False
44,406-5673590-1054739,5673590,Female,22,04-12-2022,Delivered,Meesho,SET389-KR-NP-XL,Set,XL,1,INR,648,SONIPAT,HARYANA,131001,IN,False
45,403-5846829-5098742,5846829,Female,64,04-12-2022,Delivered,Flipkart,J0248-KR-DPT-S,Set,S,1,INR,999,NELLORE,ANDHRA PRADESH,524002,IN,False
46,171-4087298-3807569,4087298,Female,30,04-12-2022,Delivered,Amazon,NW001-TP-PJ-XXL,Set,XXL,1,INR,563,TIRUCHIRAPPALLI,TAMIL NADU,620101,IN,False
47,408-7694743-7590732,7694743,Female,46,04-12-2022,Delivered,Myntra,J0092-SET-S,Set,S,1,INR,833,BENGALURU,KARNATAKA,562107,IN,False
48,406-8068610-1108329,8068610,Female,48,04-12-2022,Delivered,Nalli,JNE3770-KR-S,kurta,S,1,INR,487,PUNE,MAHARASHTRA,411014,IN,False
49,171-7917674-9759550,7917674,Female,25,04-12-2022,Delivered,Myntra,JNE3703-KR-M,kurta,M,1,INR,292,VARANASI,UTTAR PRADESH,221010,IN,False
50,406-2709798-4585159,2709798,Male,35,04-12-2022,Delivered,Others,SET210-KR-PP-M,Set,M,1,INR,558,UDUPI,KARNATAKA,574118,IN,False
51,405-4213846-6141157,4213846,Female,27,04-12-2022,Delivered,Amazon,J0003-SET-M,Set,M,1,INR,664,HYDERABAD,TELANGANA,500039,IN,False
52,407-7381557-9088310,7381557,Female,21,04-12-2022,Delivered,Others,J0230-SKD-M,Set,M,1,INR,1112,Allahabad,UTTAR PRADESH,211001,IN,False
53,403-0817885-3061963,817885,Female,43,04-12-2022,Delivered,Others,J0113-TP-S,Top,S,1,INR,540,SOUTH DELHI,DELHI,110017,IN,False
54,171-2439278-5433152,2439278,Male,39,04-12-2022,Delivered,Myntra,SET268-KR-NP-XS,Set,XS,1,INR,698,KHALILABAD,UTTAR PRADESH,272175,IN,False
55,405-8874360-4913961,8874360,Male,23,04-12-2022,Delivered,Others,J0004-SKD-XXL,Set,XXL,1,INR,1115,NEW DELHI,DELHI,110016,IN,False
56,408-4675134-5301129,4675134,Female,58,04-12-2022,Delivered,Meesho,SET209-KR-PP-XXL,Set,XXL,1,INR,507,HYDERABAD,TELANGANA,500008,IN,False
57,402-9907523-6175562,9907523,Male,27,04-12-2022,Delivered,Amazon,SET343-KR-NP-XS,Set,XS,1,INR,916,SULTANPUR,UTTAR PRADESH,228001,IN,False
58,402-9907523-6175562,9907523,Female,38,04-12-2022,Delivered,Amazon,SAR008,Saree,Free,1,INR,737,MURWARA KATNI,MADHYA PRADESH,483501,IN,False
59,407-7643005-7856329,7643005,Male,75,04-12-2022,Delivered,Flipkart,SET402-KR-NP-XXXL,Set,3XL,1,INR,988,MUMBAI,MAHARASHTRA,400063,IN,False
60,407-0381223-7065145,381223,Male,47,04-12-2022,Delivered,Meesho,J0095-SET-XL,Set,XL,1,INR,633,CHENNAI,TAMIL NADU,600066,IN,False
61,407-8538186-6616316,8538186,Female,62,04-12-2022,Delivered,Amazon,SET348-KR-NP-M,Set,M,1,INR,899,MAHENDRAGARH,HARYANA,123029,IN,False
62,403-1785530-0119510,1785530,Female,42,04-12-2022,Delivered,Amazon,PJNE2100-KR-N-6XL,kurta,6XL,1,INR,764,BENGALURU,KARNATAKA,560103,IN,False
63,403-0824767-1871567,824767,Female,34,04-12-2022,Delivered,Others,MEN5004-KR-XXXL,kurta,3XL,1,INR,688,CHENNAI,TAMIL NADU,600061,IN,False
64,404-8169153-4411563,8169153,Female,20,04-12-2022,Delivered,Amazon,JNE3567-KR-L,kurta,L,1,INR,399,Bangalore,KARNATAKA,560054,IN,False
65,406-5169174-3536336,5169174,Female,44,04-12-2022,Cancelled,Myntra,JNE3568-KR-XL,kurta,XL,1,INR,399,KALYAN,MAHARASHTRA,421306,IN,False
66,402-2130722-4734768,2130722,Female,24,04-12-2022,Delivered,Myntra,J0090-TP-S,Top,S,1,INR,563,AHMEDABAD,GUJARAT,382470,IN,False
67,404-8399604-8880365,8399604,Female,31,04-12-2022,Delivered,Amazon,JNE3461-KR-XL,kurta,XL,1,INR,363,KOLKATA,WEST BENGAL,700028,IN,False
68,403-8213196-3804353,8213196,Male,75,04-12-2022,Delivered,Myntra,SET218-KR-NP-S,Set,S,1,INR,667,BOKARO STEEL CITY,JHARKHAND,827001,IN,False
69,408-3286680-0659521,3286680,Female,46,04-12-2022,Delivered,Myntra,SAR006,Saree,Free,1,INR,685,Panchkula,HARYANA,134116,IN,False
70,403-6014983-8111514,6014983,Male,48,04-12-2022,Delivered,Myntra,SET272-KR-PP-S,Set,S,1,INR,852,PUNE,MAHARASHTRA,411021,IN,False
71,403-6950860-5590722,6950860,Female,26,04-12-2022,Delivered,Amazon,SAR018,Saree,Free,1,INR,1075,PATNA,BIHAR,801113,IN,False
72,406-7030051-2742704,7030051,Female,36,04-12-2022,Delivered,Myntra,J0094-KR-XXL,kurta,XXL,1,INR,563,NEW DELHI,DELHI,110084,IN,False
73,404-6041386-2803516,6041386,Male,23,04-12-2022,Delivered,Flipkart,J0283-SET-XXL,Set,XXL,1,INR,1072,KALYAN,MAHARASHTRA,421201,IN,False
74,404-7958450-6860328,7958450,Male,32,04-12-2022,Delivered,Amazon,SET339-KR-NP-XS,Set,XS,1,INR,702,Bengaluru,KARNATAKA,560095,IN,False
75,408-7814128-2203552,7814128,Female,26,04-12-2022,Delivered,Nalli,SAR003,Saree,Free,1,INR,476,NAVI MUMBAI,MAHARASHTRA,400705,IN,False
76,403-9793483-6877106,9793483,Male,45,04-12-2022,Delivered,Myntra,SET324-KR-NP-XL,Set,XL,1,INR,597,BENGALURU,KARNATAKA,560021,IN,False
77,402-5297818-3665137,5297818,Female,49,04-12-2022,Delivered,Flipkart,SET403-KR-NP-XL,Set,XL,1,INR,969,VARKALA,KERALA,695141,IN,False
78,171-2070545-3786767,2070545,Female,21,04-12-2022,Delivered,Flipkart,J0349-SET-XS,Set,XS,1,INR,801,BIKANER,RAJASTHAN,334001,IN,False
79,406-1756314-4546723,1756314,Female,39,04-12-2022,Delivered,Myntra,JNE3560-KR-XL,kurta,XL,1,INR,481,GURUGRAM,HARYANA,122001,IN,False
80,404-8786932-9447520,8786932,Male,55,04-12-2022,Delivered,Ajio,NW034-TP-PJ-M,Set,M,1,INR,595,BHARUCH,GUJARAT,392001,IN,False
81,408-8573929-1921943,8573929,Female,30,04-12-2022,Delivered,Flipkart,JNE3518-KR-XXL,kurta,XXL,1,INR,458,MUMBAI,MAHARASHTRA,400097,IN,False
82,408-8573929-1921943,8573929,Female,46,04-12-2022,Delivered,Amazon,JNE3160-KR-M,kurta,M,1,INR,729,kolkata,WEST BENGAL,700082,IN,False
83,407-8980704-1408352,8980704,Female,59,04-12-2022,Cancelled,Myntra,JNE3487-KR-M,kurta,M,1,INR,345,NOIDA,UTTAR PRADESH,201304,IN,False
84,171-2516658-6849136,2516658,Female,55,04-12-2022,Delivered,Flipkart,JNE3560-KR-M,kurta,M,1,INR,481,CHENNAI,TAMIL NADU,600077,IN,False
85,404-0105497-2446747,105497,Female,37,04-12-2022,Refunded,Amazon,JNE3373-KR-S,kurta,S,1,INR,382,BHANDARA,MAHARASHTRA,441701,IN,False
86,406-6468339-1490707,6468339,Male,19,04-12-2022,Delivered,Amazon,SET377-KR-NP-XS,Set,XS,1,INR,1036,MUMBAI,MAHARASHTRA,400093,IN,False
87,402-6702100-7257107,6702100,Female,49,04-12-2022,Returned,Myntra,JNE3620-KR-S,kurta,S,1,INR,322,NEW DELHI,DELHI,110084,IN,False
88,404-6243782-8199521,6243782,Female,33,04-12-2022,Delivered,Amazon,JNE3822-KR-L,kurta,L,1,INR,449,BHATKAL,KARNATAKA,581320,IN,False
89,403-3641651-0348348,3641651,Male,22,04-12-2022,Delivered,Amazon,SET184-KR-PP-L,Set,L,1,INR,573,MUMBAI,MAHARASHTRA,400098,IN,False
90,402-7662369-2719545,7662369,Female,18,04-12-2022,Delivered,Myntra,SET366-KR-NP-S,Set,S,1,INR,1163,RANCHI,JHARKHAND,834008,IN,False
91,403-8575376-3341124,8575376,Female,32,04-12-2022,Delivered,Flipkart,SET253-KR-NP-L,Set,L,1,INR,737,HYDERABAD,TELANGANA,500020,IN,False
92,403-7384618-1017125,7384618,Female,48,04-12-2022,Delivered,Flipkart,SET203-KR-DPT-L,Set,L,1,INR,429,CHENNAI,TAMIL NADU,600051,IN,False
93,403-7384618-1017125,7384618,Female,36,04-12-2022,Delivered,Myntra,JNE3368-KR-XL,kurta,XL,1,INR,471,VISAKHAPATNAM,ANDHRA PRADESH,530003,IN,False
94,403-3542194-2527546,3542194,Female,20,04-12-2022,Delivered,Amazon,SAR028,Saree,Free,1,INR,307,Perambra,KERALA,673524,IN,False
95,405-6859790-7125127,6859790,Female,48,04-12-2022,Delivered,Meesho,SET024-KR-SP-A-M,kurta,M,1,INR,631,GURUGRAM,HARYANA,122002,IN,False
96,403-0347306-1283554,347306,Female,66,04-12-2022,Delivered,Amazon,JNE3794-KR-M,kurta,M,1,INR,517,HYDERABAD,TELANGANA,500090,IN,False
97,406-7048232-6973930,7048232,Female,60,04-12-2022,Delivered,Myntra,JNE3781-KR-S,kurta,S,1,INR,427,HAMIRPUR,HIMACHAL PRADESH,177005,IN,False
98,404-5516090-4385135,5516090,Male,47,04-12-2022,Delivered,Others,J0338-DR-S,Western Dress,S,1,INR,855,Nayagarh,ODISHA,752069,IN,False
99,403-0294848-6612317,294848,Female,19,04-12-2022,Delivered,Flipkart,JNE3365-KR-1052-A-XXL,kurta,XXL,1,INR,376,BENGALURU,KARNATAKA,560075,IN,False
100,408-6522716-9753142,6522716,Male,48,04-12-2022,Delivered,Amazon,JNE3805-KR-L,kurta,L,1,INR,487,BENGALURU,KARNATAKA,562125,IN,False
101,408-6522716-9753142,6522716,Male,78,04-12-2022,Delivered,Myntra,SET319-KR-NP-M,Set,M,1,INR,852,NEW DELHI,DELHI,110034,IN,False
102,408-3094141-6564325,3094141,Female,40,04-12-2022,Delivered,Amazon,JNE3466-KR-XXL,kurta,XXL,1,INR,771,TIRUCHIRAPPALLI,TAMIL NADU,620017,IN,False
103,405-8966819-1579535,8966819,Female,38,04-12-2022,Delivered,Flipkart,JNE3805-KR-M,kurta,M,1,INR,487,PUDUVAYAL,TAMIL NADU,630108,IN,False
104,404-2716293-0209115,2716293,Female,21,04-12-2022,Delivered,Amazon,MEN5019-KR-XL,kurta,XL,1,INR,472,HYDERABAD,TELANGANA,500045,IN,False
105,403-9848998-6793100,9848998,Female,38,04-12-2022,Delivered,Amazon,SAR015,Saree,Free,1,INR,790,UDAIPUR,RAJASTHAN,313001,IN,False
106,171-6592212-4665122,6592212,Female,25,04-12-2022,Delivered,Amazon,JNE3794-KR-XS,kurta,XS,1,INR,517,PUDUCHERRY,PUDUCHERRY,605004,IN,False
107,404-5467416-2849910,5467416,Female,35,04-12-2022,Delivered,Flipkart,SET135-KR-PP-XXXL,Set,3XL,1,INR,646,GREATER NOIDA,UTTAR PRADESH,201310,IN,False
108,408-1265802-4542716,1265802,Female,23,04-12-2022,Delivered,Amazon,J0338-DR-XL,Western Dress,XL,1,INR,743,SECUNDERABAD,TELANGANA,500011,IN,False
109,171-9585512-1214755,9585512,Female,61,04-12-2022,Delivered,Myntra,JNE2251-KR-537-XXL,kurta,XXL,1,INR,399,new delhi,DELHI,110063,IN,False
110,405-6513430-0509918,6513430,Female,40,04-12-2022,Delivered,Flipkart,SET272-KR-PP-M,Set,M,1,INR,852,GREATER NOIDA,UTTAR PRADESH,201306,IN,False
111,406-7694216-8034754,7694216,Male,32,04-12-2022,Delivered,Flipkart,SET197-KR-NP-M,Set,M,1,INR,759,MYSURU,KARNATAKA,570034,IN,False
112,408-5911668-5550717,5911668,Female,31,04-12-2022,Delivered,Nalli,J0301-TP-XL,Top,XL,1,INR,493,NEW DELHI,DELHI,110059,IN,False
113,404-5364170-6523532,5364170,Female,29,04-12-2022,Delivered,Amazon,JNE3518-KR-XXL,kurta,XXL,1,INR,458,JAIPUR,RAJASTHAN,303002,IN,False
114,405-3614770-5449966,3614770,Female,27,04-12-2022,Delivered,Amazon,JNE3405-KR-M,kurta,M,1,INR,435,BIDAR,KARNATAKA,585401,IN,False
115,404-1246579-1197122,1246579,Female,48,04-12-2022,Delivered,Amazon,SET251-KR-PP-XS,Set,XS,1,INR,759,BABUGARH,UTTAR PRADESH,245201,IN,False
116,406-6695683-9996343,6695683,Male,30,04-12-2022,Cancelled,Myntra,SET282-KR-PP-L,Set,L,1,INR,1043,THANE,MAHARASHTRA,400606,IN,False
117,404-1994186-3865941,1994186,Male,71,04-12-2022,Delivered,Myntra,SET268-KR-NP-M,Set,M,1,INR,698,UDAIPUR,RAJASTHAN,313001,IN,False
118,404-0172471-1609129,172471,Female,41,04-12-2022,Delivered,Flipkart,JNE3648-TP-N-S,Top,S,1,INR,518,DOHAD,GUJARAT,389151,IN,False
119,406-0681598-4591519,681598,Male,28,04-12-2022,Delivered,Myntra,J0308-DR-XXL,Western Dress,XXL,1,INR,625,Barasat,WEST BENGAL,700124,IN,False
120,407-1388772-0703516,1388772,Female,19,04-12-2022,Delivered,Flipkart,MEN5026-KR-XXXL,kurta,3XL,1,INR,499,INDORE,MADHYA PRADESH,452001,IN,False
121,408-3131740-5067529,3131740,Female,25,04-12-2022,Delivered,Myntra,JNE3642-TP-XS,Top,XS,1,INR,321,MUMBAI,MAHARASHTRA,400053,IN,False
122,402-5496750-0331528,5496750,Female,57,04-12-2022,Delivered,Nalli,SET229-KR-PP-XS,Set,XS,1,INR,845,NAGAUR,RAJASTHAN,341305,IN,False
123,402-5496750-0331528,5496750,Female,73,04-12-2022,Delivered,Amazon,J0132-KR-XS,kurta,XS,1,INR,358,NEW DELHI,DELHI,110085,IN,False
124,403-0816846-6852364,816846,Female,50,04-12-2022,Delivered,Flipkart,JNE1234-MULTI-KR-032-XL,kurta,XL,1,INR,307,Coimbatore,TAMIL NADU,641031,IN,False
125,408-0278400-0572330,278400,Female,31,04-12-2022,Delivered,Ajio,PJNE3068-KR-6XL,kurta,6XL,1,INR,692,NAVI MUMBAI,MAHARASHTRA,400701,IN,False
126,403-8079606-6799503,8079606,Male,33,04-12-2022,Delivered,Ajio,SET313-KR-NP-XS,Set,XS,1,INR,1099,NEW DELHI,DELHI,110003,IN,False
127,171-4636514-5082740,4636514,Female,31,04-12-2022,Delivered,Myntra,SET282-KR-PP-M,Set,M,1,INR,1033,BARASAT,WEST BENGAL,700124,IN,False
128,406-9847734-4402766,9847734,Female,44,04-12-2022,Delivered,Myntra,JNE1525-KR-UDF19BLACK-XS,kurta,XS,1,INR,301,COIMBATORE,TAMIL NADU,641027,IN,False
129,403-8860022-0290733,8860022,Female,26,04-12-2022,Delivered,Myntra,JNE3691-TU-L,Top,L,1,INR,625,RANCHI,JHARKHAND,834002,IN,False
130,408-1669205-3638714,1669205,Female,25,04-12-2022,Delivered,Myntra,JNE3399-KR-M,kurta,M,1,INR,435,SANGAREDDY,TELANGANA,502001,IN,False
131,406-6737238-3993139,6737238,Female,49,04-12-2022,Delivered,Amazon,JNE3790-KR-XXXL,kurta,3XL,1,INR,307,PUNE,MAHARASHTRA,411041,IN,False
132,402-9605076-2885164,9605076,Male,59,04-12-2022,Delivered,Amazon,SET268-KR-NP-L,Set,L,1,INR,788,Buxar,BIHAR,802133,IN,False
133,406-9542566-5579564,9542566,Female,21,04-12-2022,Delivered,Amazon,SET393-KR-NP-M,Set,M,1,INR,999,KANJIKODE INDUSTRIAL AREA,KERALA,678623,IN,False
134,408-1540604-8952365,1540604,Female,31,04-12-2022,Delivered,Amazon,J0329-KR-XS,kurta,XS,1,INR,852,HYDERABAD,TELANGANA,508126,IN,False
135,405-9367631-7902714,9367631,Female,34,04-12-2022,Delivered,Amazon,SET397-KR-NP  -M,Set,M,1,INR,999,ALLAHABAD,UTTAR PRADESH,211002,IN,False
136,403-0595996-9383507,595996,Male,72,04-12-2022,Delivered,Amazon,J0008-SKD-M,Set,M,1,INR,1075,DIU,DADRA AND NAGAR,362520,IN,False
137,407-8256896-7645127,8256896,Male,22,04-12-2022,Delivered,Amazon,SET320-KR-NP-S,Set,S,1,INR,845,PATNA,BIHAR,801505,IN,False
138,407-1064158-5677135,1064158,Male,35,04-12-2022,Delivered,Myntra,J0003-SET-S,Set,S,1,INR,664,Yacharam,TELANGANA,501509,IN,False
139,407-2727693-8699567,2727693,Female,31,04-12-2022,Delivered,Flipkart,SET304-KR-DPT-M,Set,M,1,INR,1186,Kannur,KERALA,670304,IN,False
140,171-6844452-3288337,6844452,Male,34,04-12-2022,Returned,Meesho,J0382-SKD-XXL,Set,XXL,1,INR,1258,Port blair,ANDAMAN & NICOBAR ,744103,IN,False
141,171-6908439-1987505,6908439,Female,46,04-12-2022,Refunded,Amazon,JNE3405-KR-XXL,kurta,XXL,1,INR,399,MUZAFFARNAGAR,UTTAR PRADESH,251001,IN,False
142,406-9626742-4153157,9626742,Male,63,04-12-2022,Delivered,Amazon,JNE3797-KR-A-M,Western Dress,M,1,INR,771,MANMAD,MAHARASHTRA,423104,IN,False
143,403-9383537-0791567,9383537,Female,33,04-12-2022,Delivered,Amazon,JNE3611-KR-XXL,kurta,XXL,1,INR,459,SURYAPET,TELANGANA,508213,IN,False
144,403-6048785-9857964,6048785,Female,58,04-12-2022,Delivered,Amazon,JNE3546-KR-L,kurta,L,1,INR,468,BENGALURU,KARNATAKA,560100,IN,False
145,402-1040945-8225167,1040945,Female,27,04-12-2022,Delivered,Flipkart,MEN5007-KR-L,kurta,L,1,INR,475,PIMPRI CHINCHWAD,MAHARASHTRA,411033,IN,False
146,171-8224545-5941925,8224545,Male,24,04-12-2022,Delivered,Flipkart,SET333-KR-DPT-M,Set,M,1,INR,967,Kollam,KERALA,691601,IN,False
147,405-8391201-0161964,8391201,Male,45,04-12-2022,Delivered,Flipkart,JNE3860-DR-L,Western Dress,L,1,INR,614,BENGALURU,KARNATAKA,560099,IN,False
148,406-2036568-3507558,2036568,Female,22,04-12-2022,Delivered,Amazon,SET268-KR-NP-L,Set,L,1,INR,788,Vadodara,GUJARAT,390024,IN,False
149,407-0131231-1980322,131231,Female,42,04-12-2022,Returned,Nalli,J0382-SKD-XS,Set,XS,1,INR,1173,BENGALURU,KARNATAKA,560004,IN,False
150,407-0131231-1980322,131231,Female,18,04-12-2022,Returned,Amazon,J0112-TP-M,Top,M,1,INR,359,lucknow,UTTAR PRADESH,226010,IN,False
151,402-5387048-4695525,5387048,Female,55,04-12-2022,Delivered,Nalli,J0201-TP-S,Top,S,1,INR,625,SECUNDERABAD,TELANGANA,500017,IN,False
152,402-4700322-7377926,4700322,Female,25,04-12-2022,Returned,Amazon,SET377-KR-NP-S,Set,S,1,INR,1238,JAIPUR,RAJASTHAN,302017,IN,False
153,405-4774074-9942741,4774074,Male,30,04-12-2022,Delivered,Amazon,SET321-KR-DPT-XXL,Set,XXL,1,INR,927,LUCKNOW,UTTAR PRADESH,226021,IN,False
154,408-4236224-6705913,4236224,Female,46,04-12-2022,Delivered,Amazon,JNE3510-KR-XL,kurta,XL,1,INR,424,GURUGRAM,HARYANA,122001,IN,False
155,402-9698056-3215551,9698056,Male,27,04-12-2022,Delivered,Myntra,J0333-DR-L,Western Dress,L,1,INR,825,BENGALURU,KARNATAKA,560067,IN,False
156,404-1092399-0229128,1092399,Female,46,04-12-2022,Returned,Amazon,SET328-KR-NP-L,Set,L,1,INR,545,BENGALURU,KARNATAKA,560037,IN,False
157,408-1867708-9856317,1867708,Male,20,04-12-2022,Delivered,Amazon,J0134-SET-XL,Set,XL,1,INR,729,PUNE,MAHARASHTRA,412207,IN,False
158,402-7163849-6357160,7163849,Female,26,04-12-2022,Returned,Myntra,J0088-TP-S,Top,S,1,INR,497,ERNAKULAM,KERALA,682017,IN,False
